checkmate.txt,pi.txt,shakespear.txt,square_root_of_4.txt,war_and_peace.txt
371.50239852725974,390.94386501015197,379.77159113365576,364.3772167962373,279.06614957693785
340.36639566694555,377.63844312062554,391.3820713573488,294.3510523230788,354.05216880354715
335.7356924969467,339.3373834917929,418.0889128453443,395.55467938796016,323.3929551036614
269.8926189030361,357.7144672192338,340.8329570399791,304.6375640139532,423.0950526863093
327.4314233774276,337.23971092484686,362.20139888704455,393.99724975867446,266.19750780837865
