checkmate.txt,pi.txt,shakespear.txt,square_root_of_4.txt,war_and_peace.txt
270.6258276182105,285.8315204017256,289.5828700049076,265.6191811993374,274.5025771306455
270.8529712534733,305.62270522974865,276.2699680559013,269.42776809230423,271.1209690165954
272.89702427038327,302.17730450463745,276.7876812008297,231.2452346658975,276.7617444988486
218.7813277261589,292.0314018426187,265.9699563361759,265.5165519412706,249.43520589294351
264.99779160616475,274.2020876689296,249.92424202417845,242.9108403534818,234.46618603562376
